Date,Open,High,Low,Close,Volume,Vol30,RegimeFlag,EVT_DotCom_Crisis,EVT_Spain_Credit_Boom,EVT_Global_Financial_Crisis,EVT_Euro_Sovereign_Crisis,EVT_Post_Crisis_Recovery,EVT_Brexit_2016,EVT_LateCycle_Weakness,EVT_COVID_Pandemic,EVT_Reopening_Recovery,EVT_Ukraine_War,EVT_ECB_Rate_Hike_Cycle,EVT_Profits_Buybacks_Consolidation,MACRO_ECB_Deposit_Rate,MACRO_Inflation_HICP_EA,MACRO_IBEX35,Dividends,Adj Close,MA_10,MA_50,MA_ratio,ROC_10,Close_lag1,Close_lag3,Close_lag5,Vol30_lag5,RegimeFlag_lag5,MACRO_ECB_Deposit_Rate_lag1,MACRO_Inflation_HICP_EA_lag1,MACRO_IBEX35_lag1,MACRO_IBEX35_lag2
2000-03-10,14.728204727172852,14.833887100219728,14.343907356262209,14.439982414245604,11147673,2.964267407819068,0,1,0,0,0,0,0,0,0,0,0,0,0,2.3306451612903225,1.932258064516129,12513.7001953125,0,4.31735897064209,14.648463535308839,13.48404167175293,0.08635555213354174,-4.2675111917167,14.728204727172852,14.680168151855469,14.65134620666504,3.037396039304696,0.0,2.3225806451612905,1.929032258064516,12563.2001953125,12668.2998046875
2000-03-13,14.430374145507812,14.430374145507812,14.430374145507812,14.430374145507812,0,2.944174460174321,0,1,0,0,0,0,0,0,0,0,0,0,0,2.3548387096774195,1.941935483870968,12359.7001953125,0,4.314486026763916,14.616758918762207,13.50018217086792,0.08270827265603509,-2.149841523336671,14.439982414245604,14.795456886291504,14.689775466918944,3.0384013482368126,0.0,2.3306451612903225,1.932258064516129,12513.7001953125,12563.2001953125
2000-03-14,14.199795722961426,14.199795722961426,13.95000171661377,14.199795722961426,6665918,2.962442396878177,0,1,0,0,0,0,0,0,0,0,0,0,0,2.3629032258064515,1.9451612903225808,12555.7998046875,0,4.245545864105225,14.586015129089356,13.518820610046387,0.07894139213962892,-2.1192041486892688,14.430374145507812,14.728204727172852,14.680168151855469,3.0297575569055573,0.0,2.3548387096774195,1.941935483870968,12359.7001953125,12513.7001953125
2000-03-15,14.170973777770996,14.170973777770996,13.959609985351562,13.959609985351562,5468445,2.9839666780607743,0,1,0,0,0,0,0,0,0,0,0,0,0,2.370967741935484,1.9483870967741932,12279.5,0,4.173732757568359,14.516841506958007,13.53861192703247,0.07225479134772383,-4.721315103446266,14.199795722961426,14.439982414245604,14.795456886291504,2.9956138242937964,0.0,2.3629032258064515,1.9451612903225808,12555.7998046875,12359.7001953125
2000-03-16,14.180581092834473,14.699382781982422,14.065292358398438,14.670559883117676,12188949,3.108339999816539,0,1,0,0,0,0,0,0,0,0,0,0,0,2.379032258064516,1.9516129032258065,12260.900390625,0,4.386295318603516,14.52452735900879,13.572622241973876,0.07013420841339779,0.5266554289286018,13.959609985351562,14.430374145507812,14.728204727172852,2.9345599102238675,0.0,2.370967741935484,1.9483870967741932,12279.5,12555.7998046875
2000-03-17,14.795456886291504,14.88192367553711,14.516840934753418,14.75702667236328,9163603,3.086744654197753,0,1,0,0,0,0,0,0,0,0,0,0,0,2.3870967741935485,1.9548387096774196,12369.7998046875,0,4.412149429321289,14.535095405578613,13.605095367431641,0.06835674525099167,0.7213020851978946,14.670559883117676,14.199795722961426,14.439982414245604,2.964267407819068,0.0,2.379032258064516,1.9516129032258065,12260.900390625,12279.5
2000-03-20,14.612915992736816,14.708990097045898,14.478411674499512,14.641737937927246,16836160,3.063662486845505,0,1,0,0,0,0,0,0,0,0,0,0,0,2.411290322580645,1.964516129032258,12362.400390625,0,4.377679347991943,14.530291652679443,13.63949001312256,0.06531047998860973,-0.32701336449884044,14.75702667236328,13.959609985351562,14.430374145507812,2.944174460174321,0.0,2.3870967741935485,1.9548387096774196,12369.7998046875,12260.900390625
2000-03-21,14.58409309387207,14.833887100219728,14.468804359436035,14.805065155029297,7230397,3.003247016188498,0,1,0,0,0,0,0,0,0,0,0,0,0,2.419354838709677,1.967741935483871,12308.2998046875,0,4.426513671875,14.542781352996826,13.682339210510253,0.06288706406471878,0.8507872790138427,14.641737937927246,14.670559883117676,14.199795722961426,2.962442396878177,0.0,2.411290322580645,1.964516129032258,12362.400390625,12369.7998046875
2000-03-22,14.805065155029297,14.920353889465332,14.65134620666504,14.87231731414795,11605370,2.952720400024148,0,1,0,0,0,0,0,0,0,0,0,0,0,2.427419354838709,1.970967741935484,12172.2001953125,0,4.446619987487793,14.550467395782471,13.729415683746337,0.05980237840770908,0.5194866805881437,14.805065155029297,14.75702667236328,13.959609985351562,2.9839666780607743,0.0,2.419354838709677,1.967741935483871,12308.2998046875,12362.400390625
2000-03-23,14.939569473266602,14.939569473266602,14.55527114868164,14.766634941101074,5621286,2.936818515645177,0,1,0,0,0,0,0,0,0,0,0,0,0,2.435483870967742,1.9741935483870967,12073.2998046875,0,4.415021896362305,14.554310417175293,13.780527267456055,0.056150474847692866,0.26092938440298585,14.87231731414795,14.641737937927246,14.670559883117676,3.108339999816539,0.0,2.427419354838709,1.970967741935484,12172.2001953125,12308.2998046875
2000-03-24,14.766634941101074,14.824278831481934,14.593701362609863,14.737812042236328,3848057,2.616030199187066,0,1,0,0,0,0,0,0,0,0,0,0,0,2.443548387096774,1.9774193548387096,12213.7998046875,0,4.406406879425049,14.584093379974366,13.826258659362793,0.054811264513584534,2.0625345616550383,14.766634941101074,14.805065155029297,14.75702667236328,3.086744654197753,0.0,2.435483870967742,1.9741935483870967,12073.2998046875,12172.2001953125
